Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
974;2020-03-24;3;3;0;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;1;0;0
974;2020-04-08;16;0;32;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-16;6;0;45;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-08-26;99;24;1353;181;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;57.0;17.0;1.0;;;;
974;2021-08-30;85;18;1323;160;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;54.0;13.0;0.0;;;;
974;2021-09-10;129;28;2819;363;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;71.0;29.0;1.0;5;0;3;7
974;2021-09-23;55;12;1463;199;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;30.0;12.0;1.0;;;;
974;2020-09-30;27;12;202;8;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-10-15;47;11;439;24;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;1;0;4
974;2020-10-19;53;11;446;24;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;0;0;0
974;2020-10-20;28;5;228;12;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-10-23;26;8;233;11;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-28;67;13;207;7;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;6;2;0;3
974;2020-09-03;72;18;235;10;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;8;4;0;7
974;2020-09-05;23;7;116;6;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-15;30;8;146;9;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-16;33;7;147;9;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-25;36;6;176;10;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-27;30;5;182;11;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-08;28;2;355;25;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-17;31;4;363;26;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-18;27;5;366;26;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-02-07;31;5;807;56;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;2;1;0;2
974;2020-11-09;38;6;263;21;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-11-24;83;14;600;45;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;4;0;1;7
974;2021-03-01;144;64;903;68;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;7;2;0;2
974;2021-03-02;82;39;443;39;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-03-04;91;38;447;41;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-03;13;2;87;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-13;15;2;93;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-16;26;5;177;5;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;2;0;0;3
974;2020-08-17;30;7;183;5;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;10;2;0;6
974;2020-08-22;43;10;192;6;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;3;2;1;2
974;2020-06-28;13;2;73;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-29;19;4;140;2;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;1;0;0
974;2020-06-29;13;2;73;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-07-06;22;4;144;2;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;1;0;0
974;2020-12-05;25;3;327;23;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-12-16;25;4;348;27;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-12-18;47;4;693;51;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;0;0;2
974;2020-12-29;20;1;363;27;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-01;38;4;720;52;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;0;0;0
974;2020-08-23;31;6;103;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-26;52;9;200;7;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;6;1;0;2
974;2020-11-05;70;13;512;33;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;14;4;0;6
974;2020-11-14;41;11;276;21;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-03-08;60;20;481;37;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-03-11;63;20;495;39;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-06;45;4;43;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;3;0;0;2
974;2020-04-18;3;0;48;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
