Période (Trimestre);Date;Catégorie;Tranche d'âge;Nb moyen demandeur emploi;Nb moyen demandeur emploi Homme;Nb moyen demandeur emploi Femme;Différence Nb demandeur emploi trimestre précédent;Nb moyen entrées;Nb moyen sorties;Nb moyen demandeur emploi longue durée;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
2003-T4;2003-10;C;Indifférent;5930;;;60.0;;;;974;Réunion;04;La Réunion;REU
2005-T2;2005-04;C;Indifférent;6010;;;-130.0;;;;974;Réunion;04;La Réunion;REU
2009-T3;2009-07;C;Indifférent;6240;;;580.0;;;;974;Réunion;04;La Réunion;REU
2013-T1;2013-01;C;Indifférent;9430;;;120.0;;;;974;Réunion;04;La Réunion;REU
2014-T1;2014-01;C;Indifférent;10440;;;440.0;;;;974;Réunion;04;La Réunion;REU
2018-T1;2018-01;C;Indifférent;15200;;;190.0;;;;974;Réunion;04;La Réunion;REU
2020-T2;2020-04;C;Indifférent;13160;;;-2440.0;;;;974;Réunion;04;La Réunion;REU
2001-T1;2001-01;E;Indifférent;5570;;;-990.0;;;;974;Réunion;04;La Réunion;REU
2021-T1;2021-01;E;Indifférent;10260;;;210.0;;;;974;Réunion;04;La Réunion;REU
1996-T4;1996-10;D;Indifférent;2460;;;-460.0;;;;974;Réunion;04;La Réunion;REU
2002-T1;2002-01;D;Indifférent;3510;;;-200.0;;;;974;Réunion;04;La Réunion;REU
2005-T2;2005-04;D;Indifférent;3920;;;-160.0;;;;974;Réunion;04;La Réunion;REU
2010-T3;2010-07;D;Indifférent;4450;;;-270.0;;;;974;Réunion;04;La Réunion;REU
2014-T1;2014-01;D;Indifférent;3660;;;130.0;;;;974;Réunion;04;La Réunion;REU
2019-T2;2019-04;D;Indifférent;5090;;;-440.0;;;;974;Réunion;04;La Réunion;REU
2020-T4;2020-10;D;Indifférent;6940;;;810.0;;;;974;Réunion;04;La Réunion;REU
2017-T3;2017-07;ABC;Entre 25 et 49 ans;99310;;;290.0;;;;974;Réunion;04;La Réunion;REU
2011-T4;2011-10;ABC;Indifférent;136280;66030;70250;860.0;10860.0;10240.0;70660.0;974;Réunion;04;La Réunion;REU
2012-T1;2012-01;ABC;Indifférent;138040;67150;70900;1760.0;11900.0;10450.0;72060.0;974;Réunion;04;La Réunion;REU
2016-T3;2016-07;ABC;Indifférent;159770;77410;82360;1190.0;11780.0;11260.0;86260.0;974;Réunion;04;La Réunion;REU
2002-T2;2002-04;ABC;Moins de 25 ans;23640;;;-310.0;;;;974;Réunion;04;La Réunion;REU
2010-T4;2010-10;ABC;Moins de 25 ans;22630;;;500.0;;;;974;Réunion;04;La Réunion;REU
2012-T3;2012-07;ABC;Moins de 25 ans;24000;;;320.0;;;;974;Réunion;04;La Réunion;REU
2013-T4;2013-10;ABC;Moins de 25 ans;24800;;;-240.0;;;;974;Réunion;04;La Réunion;REU
1999-T2;1999-04;ABC;Indifférent;116300;58920;57370;1830.0;8240.0;7840.0;54790.0;974;Réunion;04;La Réunion;REU
