Date;Total des touristes
2016-09;39611
2016-11;43391
2017-01;53445
2017-02;29070
2017-04;37293
2017-05;33366
2017-07;49774
2017-10;43040
2017-11;49409
2018-02;31022
2018-04;37206
2018-09;36702
2018-10;49188
2018-11;46339
2019-01;56182
2019-02;31851
2019-07;51253
2019-08;53565
2019-11;48265
2019-12;65257
2016-01;41766
2016-04;33104
2016-06;26481
2016-07;44571
2016-02;25425
2016-08;43810
2016-03;27528
2017-06;37778
2016-05;35731
2018-05;40621
2016-10;42106
2018-06;35363
2016-12;54737
2019-04;35914
2017-03;27365
2019-05;36847
2017-08;48872
2019-06;35720
2017-09;35249
2019-10;49293
2017-12;62904
2018-01;58771
2018-03;38595
2018-07;51610
2018-08;53151
2018-12;56063
2019-03;37890
2019-09;31583
